name1	name2	single_tel_length_norm
BFC	BFC	0.9254820704
AGL	AGL	-9
ABE	ABE	-9
SACE_YAM	SACE_YAM	-9
BKI	BKI	0.1617862159
ABR	ABR	-9
ABQ	ABQ	-9
BNV	BNV	-0.5524343258
BPB	BPB	0.236633484
BPT	BPT	0.3267039253
BQM	BQM	1.3885202546
BFK	BFK	-0.9000301135
BQS	BQS	0.4928902325
BQE	BQE	-0.5384797504
AIN	AIN	0.7187006347
BQR	BQR	1.9961785841
BLT	BLT	-1.3123243871
AIF	AIF	-0.1579004209
AQR	AQR	-9
BPF	BPF	-1.5381347893
BLR	BLR	-0.4801242532
BNL	BNL	0.1643234114
BPK	BPK	-0.7173520353
BKQ	BKQ	0.1579804226
BPG	BPG	-9
BPH	BPH	-9
BQT	BQT	-0.2847601974
APT	APT	-9
BID	BID	-0.6222072029
AGI	AGI	-1.9022223478
BHV	BHV	-0.7236950241
BNE	BNE	-0.2162559181
BLA	BLA	0.7123576459
BKT	BKT	1.3682226904
BIA	BIA	-0.0741729684
BKL	BKL	1.0802509977
BIB	BIB	-0.0792473595
BKK	BKK	0.6438533666
BLQ	BLQ	-9
SACE_YBY	SACE_YBY	-9
SACE_YDF	SACE_YDF	-9
SACE_YDO	SACE_YDO	-9
AHG	AHG	-9
AII	AII	-9
AHD	AHD	-9
AGF	AGF	-9
AHE	AHE	-9
AQQ	AQQ	-9
ASG	ASG	-9
ASD	ASD	-0.9748773816
ASE	ASE	-0.5321367616
AIQ	AIQ	0.6108698247
BLG	BLG	-0.5156449906
BLI	BLI	-0.7427239906
ACP	ACP	-9
BQA	BQA	-0.076710164
AMA	AMA	-9
ALQ	ALQ	-0.4344547337
BBI	BBI	-0.6348931806
ALT	ALT	-0.1287226723
BBK	BBK	-0.1832723762
BFB	BFB	1.8046203216
BFD	BFD	-0.3710248454
ALS	ALS	0.1732035958
BBH	BBH	-0.3976653985
BPQ	BPQ	2.6748783884
BQN	BQN	0.2861087968
CBI	CBI	0.7478783833
CCM	CCM	-0.2327476891
BEP	BEP	1.2540488916
BRC	BRC	0.5956466515
CGT	CGT	2.3361627851
ALL	ALL	-0.6069840297
ALM	ALM	-9
AVH	AVH	-9
AHR	AHR	-9
SACE_YAD	SACE_YAD	-9
AGH	AGH	-9
BTH	BTH	-0.1972269516
ATH	ATH	-0.6666081247
BFQ	BFQ	0.2772286125
CIA	CIA	-0.4978846219
BFR	BFR	0.339389903
CIB	CIB	-0.9254020688
CBG	CBG	0.026046255
ACF	ACF	-9
SACE_YCD	SACE_YCD	-9
APS	APS	-9
ARC	ARC	-9
BER	BER	-1.2349399234
BES	BES	-1.091588376
ARK	ARK	-9
ATA	ATA	-1.2476259011
ARQ	ARQ	0.064104188
SACE_YBN	SACE_YBN	-9
APV	APV	0.171934998
CFV	CFV	-9
SACE_YDC	SACE_YDC	-9
SACE_GAP	SACE_GAP	-9
AAI	AAI	-9
ARV	ARV	-9
BHC	BHC	-1.0624106274
BHF	BHF	-0.816302661
BLB	BLB	1.9581206511
BPP	BPP	-9
BTN	BTN	-1.5799985155
BTL	BTL	-0.6069840297
CRH	CRH	-0.3342355103
SACE_YAA	SACE_YAA	-9
BSP	BSP	-0.4953474264
AHT	AHT	-9
ATN	ATN	-0.0449952198
SACE_YBO	SACE_YBO	-9
BNK	BNK	-0.7642901526
BNR	BNR	1.1132345396
BQH	BQH	-0.0234290578
BEQ	BEQ	1.7449962266
AIK	AIK	-0.2733428175
CAH	CAH	-9
CBA	CBA	0.571543294
CAI	CAI	0.614675618
CAK	CAK	1.9454346735
CAL	CAL	0.5829606739
BSL	BSL	-0.1401400522
SACE_YBX	SACE_YBX	-9
BSE	BSE	-0.3608760633
AAA	AAA	-9
CFS	CFS	-9
BEV	BEV	-0.8746581582
BET	BET	-0.5207193817
BST	BST	0.6375103778
ASS	ASS	-0.502959013
BSD	BSD	0.2125301265
ATM	ATM	0.0349264394
CQT	CQT	-0.2949089795
BSA	BSA	-0.1984955494
ADR	ADR	-9
BSC	BSC	0.6552707465
CFQ	CFQ	-0.6450419627
CFR	CFR	0.2429764728
BSB	BSB	-0.119842488
ADC	ADC	-9
SACE_YCP	SACE_YCP	-9
SACE_YCQ	SACE_YCQ	-9
BII	BII	-0.5143763929
BIS	BIS	0.2315590929
BIG	BIG	-9
AIR	AIR	0.7770561319
AIT	AIT	0.360956065
BNF	BNF	-0.8366002252
BAR	BAR	-0.541016946
BAS	BAS	-0.9139846889
BAT	BAT	-1.0509932475
BRD	BRD	0.0412694282
AGV	AGV	-9
BQI	BQI	-0.2340162868
AGA	AGA	-9
AGS	AGS	-9
BPC	BPC	0.1237282829
BKE	BKE	0.4396091264
BLH	BLH	-0.5372111527
CRG	CRG	0.2886459924
AIL	AIL	0.0146288751
AMS	AMS	-0.6792941023
BLE	BLE	-0.6361617783
ADB	ADB	-9
BQB	BQB	3.4309626563
AMR	AMR	0.2163359198
ABT	ABT	-9
BRA	BRA	-0.0475324154
BIC	BIC	-0.162974812
BLK	BLK	-0.7275008174
BBV	BBV	-9
BVK	BVK	0.5449027409
CFE	CFE	-0.9101788956
BRF	BRF	-0.0424580243
BSM	BSM	0.9140646905
BSN	BSN	0.7491469811
CPE	CPE	-9
BLM	BLM	-0.4877358398
BQC	BQC	0.0374636349
BRE	BRE	0.9102588972
BPV	BPV	-0.8454804096
CRC	CRC	-0.5511657281
BHN	BHN	-0.3697562477
BBB	BBB	-0.3443842924
BAV	BAV	-0.3253553259
CAE	CAE	0.3558816739
CAF	CAF	0.4941588303
CRL	CRL	-0.1807351807
BBA	BBA	-0.2530452533
SACE_YAY	SACE_YAY	-9
ADI	ADI	-9
SACE_YBA	SACE_YBA	-9
SACE_YAZ	SACE_YAZ	-9
BMI	BMI	3.7138599579
SACE_YBE	SACE_YBE	-9
BMK	BMK	0.2214103108
SACE_YBF	SACE_YBF	-9
BMH	BMH	5.0420818179
ADD	ADD	-9
SACE_YBB	SACE_YBB	-9
SACE_YBG	SACE_YBG	-9
SACE_YBH	SACE_YBH	-9
CDS	CDS	-0.6069840297
BIM	BIM	0.1617862159
BIN	BIN	0.1833523779
BKA	BKA	0.1389514561
BQQ	BQQ	-0.4446035158
ADS	ADS	-0.7731703369
BNM	BNM	0.7618329587
ACR	ACR	-9
BIH	BIH	-0.335504108
BKC	BKC	1.3314333552
BLS	BLS	0.3457328918
BKD	BKD	0.4789356571
BNP	BNP	1.9124511316
BKN	BKN	0.7212378302
BNQ	BNQ	0.4167743666
CBH	CBH	0.1452944449
BKH	BKH	0.2264847019
BPM	BPM	0.0247776572
BKP	BKP	-9
CRA	CRA	-9
CRB	CRB	0.0412694282
CHC	CHC	-0.060218393
CGS	CGS	2.5568987962
CHB	CHB	0.1681292047
CHD	CHD	1.4367269697
CGV	CGV	0.7795933274
CHA	CHA	0.3634932605
CHE	CHE	0.7161634392
AHI	AHI	-9
BKM	BKM	0.6425847688
BIF	BIF	-0.6564593426
BKG	BKG	2.6583866174
BKF	BKF	2.8283787179
BLL	BLL	0.1097737075
ARL	ARL	-9
CKI	CKI	-1.0941255715
CKL	CKL	-1.2247911413
CKH	CKH	-1.2729978564
CKD	CKD	-1.1740472307
CKE	CKE	-0.3799050298
CIS	CIS	-0.4243059516
BMN	BMN	-0.610789823
CIT	CIT	-0.46490108
CKP	CKP	-1.1194975268
CKQ	CKQ	-0.6678767225
CKB	CKB	-0.8137654654
CKC	CKC	-0.610789823
CIQ	CIQ	-9
CIM	CIM	-9
CIN	CIN	-1.0129353145
CIR	CIR	-0.2695370242
CKF	CKF	-0.8239142475
CKG	CKG	-1.0129353145
CKM	CKM	-0.9571170129
CIP	CIP	-9
BCA	BCA	-0.0843217505
AMT	AMT	-0.7325752085
CIV	CIV	-0.7097404487
CKT	CKT	-0.5917608566
BIL	BIL	1.9834926064
ABS	ABS	-9
BIP	BIP	-9
BIQ	BIQ	-9
BNI	BNI	-0.546091337
BLV	BLV	-0.2720742198
BQG	BQG	0.2391706795
CRD	CRD	-0.4154257672
CRI	CRI	-9
BVM	BVM	-0.6386989739
CQV	CQV	0.0463438193
CRK	CRK	-0.859434985
BLF	BLF	-0.7338438062
CEA	CEA	-9
CEB	CEB	-9
