Strain,Single_tel_length,Clade,Gene,CN
BFC,344.375,01.Wine_European,YFR054C,1
BKI,269.125,01.Wine_European,YFR054C,1
BNV,198.75,01.Wine_European,YFR054C,1
BPB,276.5,01.Wine_European,YFR054C,1
BPT,285.375,01.Wine_European,YFR054C,1
BQM,390,01.Wine_European,YFR054C,1
BFK,164.5,01.Wine_European,YFR054C,1
BQS,301.75,01.Wine_European,YFR054C,1
BQE,200.125,01.Wine_European,YFR054C,>1
AIN,324,01.Wine_European,YFR054C,1
BQR,449.875,01.Wine_European,YFR054C,>1
BLT,123.875,01.Wine_European,YFR054C,1
AIF,237.625,01.Wine_European,YFR054C,1
BPF,101.625,01.Wine_European,YFR054C,1
BLR,205.875,01.Wine_European,YFR054C,1
BNL,269.375,01.Wine_European,YFR054C,1
BPK,182.5,01.Wine_European,YFR054C,1
BKQ,268.75,01.Wine_European,YFR054C,1
BQT,225.125,01.Wine_European,YFR054C,1
BID,191.875,01.Wine_European,YFR054C,1
AGI,65.75,01.Wine_European,YFR054C,1
BHV,181.875,01.Wine_European,YFR054C,1
BNE,231.875,01.Wine_European,YFR054C,1
BLA,323.375,01.Wine_European,YFR054C,1
BKT,388,01.Wine_European,YFR054C,>1
BIA,245.875,01.Wine_European,YFR054C,1
BKL,359.625,01.Wine_European,YFR054C,1
BIB,245.375,01.Wine_European,YFR054C,1
BKK,316.625,01.Wine_European,YFR054C,1
ASD,157.125,01.Wine_European,YFR054C,1
ASE,200.75,01.Wine_European,YFR054C,1
AIQ,313.375,01.Wine_European,YFR054C,1
BLG,202.375,01.Wine_European,YFR054C,1
BLI,180,01.Wine_European,YFR054C,1
BQA,245.625,01.Wine_European,YFR054C,1
ALQ,210.375,01.Wine_European,YFR054C,1
BBI,190.625,01.Wine_European,YFR054C,1
ALT,240.5,01.Wine_European,YFR054C,1
BBK,235.125,01.Wine_European,YFR054C,1
BFB,431,01.Wine_European,YFR054C,1
BFD,216.625,01.Wine_European,YFR054C,1
ALS,270.25,01.Wine_European,YFR054C,1
BBH,214,01.Wine_European,YFR054C,1
BPQ,516.75,01.Wine_European,YFR054C,>1
BQN,281.375,01.Wine_European,YFR054C,1
CBI,326.875,01.Wine_European,YFR054C,1
CCM,230.25,01.Wine_European,YFR054C,1
BEP,376.75,01.Wine_European,YFR054C,1
BRC,311.875,01.Wine_European,YFR054C,1
CGT,483.375,01.Wine_European,YFR054C,1
ALL,193.375,01.Wine_European,YFR054C,1
BTH,233.75,01.Wine_European,YFR054C,1
ATH,187.5,01.Wine_European,YFR054C,1
BFQ,280.5,01.Wine_European,YFR054C,1
CIA,204.125,01.Wine_European,YFR054C,1
BFR,286.625,01.Wine_European,YFR054C,1
CIB,162,01.Wine_European,YFR054C,1
CBG,255.75,01.Wine_European,YFR054C,1
BER,131.5,01.Wine_European,YFR054C,1
BES,145.625,01.Wine_European,YFR054C,1
ATA,130.25,01.Wine_European,YFR054C,1
ARQ,259.5,01.Wine_European,YFR054C,1
APV,270.125,01.Wine_European,YFR054C,1
BHC,148.5,01.Wine_European,YFR054C,1
BHF,172.75,01.Wine_European,YFR054C,1
BLB,446.125,01.Wine_European,YFR054C,>1
BTN,97.5,01.Wine_European,YFR054C,1
BTL,193.375,01.Wine_European,YFR054C,1
CRH,220.25,01.Wine_European,YFR054C,1
BSP,204.375,01.Wine_European,YFR054C,1
