Strain,Single_tel_length,Clade,variable,value
BFC,344.375,01.Wine_European,AHC2,0
BKI,269.125,01.Wine_European,AHC2,0
BNV,198.75,01.Wine_European,AHC2,0
BPB,276.5,01.Wine_European,AHC2,0
BPT,285.375,01.Wine_European,AHC2,0
BQM,390,01.Wine_European,AHC2,0
BFK,164.5,01.Wine_European,AHC2,0
BQS,301.75,01.Wine_European,AHC2,0
BQE,200.125,01.Wine_European,AHC2,0
AIN,324,01.Wine_European,AHC2,0
BQR,449.875,01.Wine_European,AHC2,0
BLT,123.875,01.Wine_European,AHC2,0
AIF,237.625,01.Wine_European,AHC2,0
BPF,101.625,01.Wine_European,AHC2,0
BLR,205.875,01.Wine_European,AHC2,0
BNL,269.375,01.Wine_European,AHC2,0
BPK,182.5,01.Wine_European,AHC2,0
BKQ,268.75,01.Wine_European,AHC2,0
BQT,225.125,01.Wine_European,AHC2,0
BID,191.875,01.Wine_European,AHC2,0
AGI,65.75,01.Wine_European,AHC2,0
BHV,181.875,01.Wine_European,AHC2,0
BNE,231.875,01.Wine_European,AHC2,0
BLA,323.375,01.Wine_European,AHC2,0
BKT,388,01.Wine_European,AHC2,0
BIA,245.875,01.Wine_European,AHC2,0
BKL,359.625,01.Wine_European,AHC2,0
BIB,245.375,01.Wine_European,AHC2,0
BKK,316.625,01.Wine_European,AHC2,0
ASD,157.125,01.Wine_European,AHC2,0
ASE,200.75,01.Wine_European,AHC2,0
AIQ,313.375,01.Wine_European,AHC2,0
BLG,202.375,01.Wine_European,AHC2,0
BLI,180,01.Wine_European,AHC2,0
BQA,245.625,1.1.Semi_wild,AHC2,0
ALQ,210.375,1.1.Semi_wild,AHC2,0
BBI,190.625,1.1.Semi_wild,AHC2,0
ALT,240.5,1.1.Semi_wild,AHC2,0
BBK,235.125,1.1.Semi_wild,AHC2,0
BFB,431,1.1.Semi_wild,AHC2,0
BFD,216.625,1.1.Semi_wild,AHC2,0
ALS,270.25,1.1.Semi_wild,AHC2,0
BBH,214,1.1.Semi_wild,AHC2,0
BPQ,516.75,1.1.Semi_wild,AHC2,0
BQN,281.375,1.1.Semi_wild,AHC2,0
CBI,326.875,1.1.Semi_wild,AHC2,0
CCM,230.25,1.1.Semi_wild,AHC2,0
BEP,376.75,1.1.Semi_wild,AHC2,0
BRC,311.875,1.1.Semi_wild,AHC2,0
CGT,483.375,1.1.Semi_wild,AHC2,0
ALL,193.375,01.Wine_European,AHC2,0
BTH,233.75,01.Wine_European,AHC2,0
ATH,187.5,01.Wine_European,AHC2,0
BFQ,280.5,01.Wine_European,AHC2,0
CIA,204.125,01.Wine_European,AHC2,0
BFR,286.625,01.Wine_European,AHC2,0
CIB,162,01.Wine_European,AHC2,0
CBG,255.75,01.Wine_European,AHC2,0
BER,131.5,01.Wine_European,AHC2,0
BES,145.625,01.Wine_European,AHC2,0
ATA,130.25,01.Wine_European,AHC2,0
ARQ,259.5,01.Wine_European,AHC2,0
APV,270.125,01.Wine_European,AHC2,0
BHC,148.5,01.Wine_European,AHC2,0
BHF,172.75,01.Wine_European,AHC2,0
BLB,446.125,01.Wine_European,AHC2,0
BTN,97.5,01.Wine_European,AHC2,0
BTL,193.375,01.Wine_European,AHC2,0
CRH,220.25,01.Wine_European,AHC2,0
BSP,204.375,01.Wine_European,AHC2,0
ATN,248.75,01.Wine_European,AHC2,0
BNK,177.875,01.Wine_European,AHC2,0
BNR,362.875,01.Wine_European,AHC2,0
BQH,250.875,01.Wine_European,AHC2,0
BEQ,425.125,01.Wine_European,AHC2,0
AIK,226.25,01.Wine_European,AHC2,0
CBA,309.5,01.Wine_European,AHC2,0
CAI,313.75,01.Wine_European,AHC2,0
CAK,444.875,01.Wine_European,AHC2,0
CAL,310.625,01.Wine_European,AHC2,0
BSL,239.375,01.Wine_European,AHC2,0
BSE,217.625,01.Wine_European,AHC2,0
BEV,167,01.Wine_European,AHC2,0
BET,201.875,01.Wine_European,AHC2,0
BST,316,01.Wine_European,AHC2,0
ASS,203.625,01.Wine_European,AHC2,0
BSD,274.125,01.Wine_European,AHC2,0
ATM,256.625,01.Wine_European,AHC2,0
CQT,224.125,01.Wine_European,AHC2,0
BSA,233.625,01.Wine_European,AHC2,0
BSC,317.75,01.Wine_European,AHC2,0
CFQ,189.625,01.Wine_European,AHC2,0
CFR,277.125,01.Wine_European,AHC2,0
BSB,241.375,01.Wine_European,AHC2,0
BII,202.5,01.Wine_European,AHC2,0
BIS,276,01.Wine_European,AHC2,0
AIR,329.75,01.Wine_European,AHC2,0
AIT,288.75,01.Wine_European,AHC2,0
BNF,170.75,01.Wine_European,AHC2,0
BAR,199.875,01.Wine_European,AHC2,0
BAS,163.125,01.Wine_European,AHC2,0
BAT,149.625,01.Wine_European,AHC2,0
BRD,257.25,01.Wine_European,AHC2,0
BQI,230.125,01.Wine_European,AHC2,0
BPC,265.375,01.Wine_European,AHC2,0
BKE,296.5,01.Wine_European,AHC2,0
BLH,200.25,01.Wine_European,AHC2,0
CRG,281.625,01.Wine_European,AHC2,0
AIL,254.625,01.Wine_European,AHC2,0
AMS,186.25,01.Wine_European,AHC2,0
BLE,190.5,01.Wine_European,AHC2,0
BQB,591.25,01.Wine_European,AHC2,0
AMR,274.5,01.Wine_European,AHC2,0
BRA,248.5,01.Wine_European,AHC2,0
BIC,237.125,01.Wine_European,AHC2,0
BLK,181.5,01.Wine_European,AHC2,0
BVK,306.875,01.Wine_European,AHC2,0
CFE,163.5,01.Wine_European,AHC2,0
BRF,249,01.Wine_European,AHC2,0
BSM,343.25,01.Wine_European,AHC2,0
BSN,327,01.Wine_European,AHC2,0
BLM,205.125,01.Wine_European,AHC2,0
BQC,256.875,01.Wine_European,AHC2,0
BRE,342.875,01.Wine_European,AHC2,0
BPV,169.875,01.Wine_European,AHC2,0
CRC,198.875,01.Wine_European,AHC2,0
BHN,216.75,01.Wine_European,AHC2,0
BBB,219.25,01.Wine_European,AHC2,0
BAV,221.125,01.Wine_European,AHC2,0
CAE,288.25,01.Wine_European,AHC2,0
CAF,301.875,01.Wine_European,AHC2,0
CRL,235.375,01.Wine_European,AHC2,0
BBA,228.25,01.Wine_European,AHC2,0
BMI,619.125,1.2_Clin_teldef,AHC2,1.1
BMK,275,1.2_Clin_teldef,AHC2,1.1
BMH,750,1.2_Clin_teldef,AHC2,1.1
CDS,193.375,01.Wine_European,AHC2,0
BIM,269.125,01.Wine_European,AHC2,0
BIN,271.25,01.Wine_European,AHC2,0
BKA,266.875,01.Wine_European,AHC2,0
BQQ,209.375,01.Wine_European,AHC2,0
ADS,177,01.Wine_European,AHC2,0
BNM,328.25,01.Wine_European,AHC2,0
BIH,220.125,01.Wine_European,AHC2,0
BKC,384.375,01.Wine_European,AHC2,0
BLS,287.25,01.Wine_European,AHC2,0
BKD,300.375,01.Wine_European,AHC2,0.1
BNP,441.625,01.Wine_European,AHC2,1.1
BKN,324.25,01.Wine_European,AHC2,0
BNQ,294.25,01.Wine_European,AHC2,0
CBH,267.5,01.Wine_European,AHC2,0
BKH,275.5,01.Wine_European,AHC2,0
BPM,255.625,01.Wine_European,AHC2,0
CRB,257.25,01.Wine_European,AHC2,0
CHC,247.25,01.Wine_European,AHC2,0
CGS,505.125,01.Wine_European,AHC2,0
