Strain	Single_tel_length	Clade	Gene	CN
BFC	344.375	01.Wine_European	ATP8	1
BKI	269.125	01.Wine_European	ATP8	1.5
BNV	198.75	01.Wine_European	ATP8	1.5
BPB	276.5	01.Wine_European	ATP8	1
BPT	285.375	01.Wine_European	ATP8	5
BQM	390	01.Wine_European	ATP8	0.5
BFK	164.5	01.Wine_European	ATP8	1.5
BQS	301.75	01.Wine_European	ATP8	6
BQE	200.125	01.Wine_European	ATP8	1.5
AIN	324	01.Wine_European	ATP8	5.5
BQR	449.875	01.Wine_European	ATP8	0.5
BLT	123.875	01.Wine_European	ATP8	1.5
AIF	237.625	01.Wine_European	ATP8	19
BPF	101.625	01.Wine_European	ATP8	10.5
BLR	205.875	01.Wine_European	ATP8	1.5
BNL	269.375	01.Wine_European	ATP8	1.5
BPK	182.5	01.Wine_European	ATP8	3
BKQ	268.75	01.Wine_European	ATP8	1.5
BQT	225.125	01.Wine_European	ATP8	1
BID	191.875	01.Wine_European	ATP8	12
AGI	65.75	01.Wine_European	ATP8	3.5
BHV	181.875	01.Wine_European	ATP8	14
BNE	231.875	01.Wine_European	ATP8	1.5
BLA	323.375	01.Wine_European	ATP8	0.5
BKT	388	01.Wine_European	ATP8	2
BIA	245.875	01.Wine_European	ATP8	17
BKL	359.625	01.Wine_European	ATP8	1
BIB	245.375	01.Wine_European	ATP8	18.5
BKK	316.625	01.Wine_European	ATP8	1
ASD	157.125	01.Wine_European	ATP8	13.5
ASE	200.75	01.Wine_European	ATP8	24.5
AIQ	313.375	01.Wine_European	ATP8	7.5
BLG	202.375	01.Wine_European	ATP8	2.5
BLI	180	01.Wine_European	ATP8	2.5
BQA	245.625	01.Wine_European	ATP8	1.5
ALQ	210.375	01.Wine_European	ATP8	12
BBI	190.625	01.Wine_European	ATP8	10
ALT	240.5	01.Wine_European	ATP8	23
BBK	235.125	01.Wine_European	ATP8	13
BFB	431	01.Wine_European	ATP8	1
BFD	216.625	01.Wine_European	ATP8	1.5
ALS	270.25	01.Wine_European	ATP8	17.5
BBH	214	01.Wine_European	ATP8	15
BPQ	516.75	01.Wine_European	ATP8	0.5
BQN	281.375	01.Wine_European	ATP8	6.5
CBI	326.875	01.Wine_European	ATP8	7
CCM	230.25	01.Wine_European	ATP8	7
BEP	376.75	01.Wine_European	ATP8	1
BRC	311.875	01.Wine_European	ATP8	7
CGT	483.375	01.Wine_European	ATP8	5
ALL	193.375	01.Wine_European	ATP8	14.5
BTH	233.75	01.Wine_European	ATP8	13
ATH	187.5	01.Wine_European	ATP8	19
BFQ	280.5	01.Wine_European	ATP8	11
CIA	204.125	01.Wine_European	ATP8	7
BFR	286.625	01.Wine_European	ATP8	11
CIB	162	01.Wine_European	ATP8	8.5
CBG	255.75	01.Wine_European	ATP8	12
BER	131.5	01.Wine_European	ATP8	2.5
BES	145.625	01.Wine_European	ATP8	2.5
ATA	130.25	01.Wine_European	ATP8	22.5
ARQ	259.5	01.Wine_European	ATP8	14
APV	270.125	01.Wine_European	ATP8	4
BHC	148.5	01.Wine_European	ATP8	15
BHF	172.75	01.Wine_European	ATP8	16
BLB	446.125	01.Wine_European	ATP8	1
BTN	97.5	01.Wine_European	ATP8	15.5
BTL	193.375	01.Wine_European	ATP8	7.5
CRH	220.25	01.Wine_European	ATP8	9.5
BSP	204.375	01.Wine_European	ATP8	8
ATN	248.75	01.Wine_European	ATP8	7.5
BNK	177.875	01.Wine_European	ATP8	2
BNR	362.875	01.Wine_European	ATP8	0.5
BQH	250.875	01.Wine_European	ATP8	4.5
BEQ	425.125	01.Wine_European	ATP8	1
AIK	226.25	01.Wine_European	ATP8	10
CBA	309.5	01.Wine_European	ATP8	9.5
CAI	313.75	01.Wine_European	ATP8	6.5
CAK	444.875	01.Wine_European	ATP8	3
CAL	310.625	01.Wine_European	ATP8	6.5
BSL	239.375	01.Wine_European	ATP8	9.5
